Dia,Susceptibles,Infectados,Recuperados,Muertos,Infectados_Acumulados,R0
0,995998,2,0,0,2,1.0
1,995996,4,0,0,4,1.0
2,995993,7,0,0,7,0.75
3,995988,10,2,0,10,0.42857142857142855
4,995985,13,2,0,13,0.3
5,995981,16,3,0,16,0.23076923076923078
6,995975,20,5,0,20,0.25
7,995970,24,6,0,24,0.2
8,995964,27,9,0,27,0.125
9,995952,38,10,0,38,0.4074074074074074
10,995943,46,11,0,46,0.21052631578947367
11,995930,57,13,0,57,0.2391304347826087
12,995927,56,17,0,57,-0.017543859649122806
13,995918,63,19,0,64,0.125
14,995907,72,21,0,73,0.14285714285714285
15,995898,78,23,1,79,0.08333333333333333
16,995890,84,25,1,85,0.07692307692307693
17,995870,97,31,2,98,0.15476190476190477
18,995852,109,36,3,110,0.12371134020618557
19,995835,121,40,4,122,0.11009174311926606
20,995821,125,48,6,126,0.03305785123966942
21,995805,135,54,6,136,0.08
22,995785,145,64,6,146,0.07407407407407407
23,995766,155,69,10,156,0.06896551724137931
24,995738,176,74,12,177,0.13548387096774195
25,995722,185,81,13,186,0.05113636363636364
26,995694,197,93,16,198,0.06486486486486487
27,995677,205,99,19,206,0.04060913705583756
28,995649,219,113,19,220,0.06829268292682927
29,995628,228,124,20,229,0.0410958904109589
30,995599,242,137,22,243,0.06140350877192982
31,995564,260,152,24,261,0.0743801652892562
32,995537,267,167,29,268,0.026923076923076925
33,995505,286,179,30,287,0.07116104868913857
34,995479,291,195,35,292,0.017482517482517484
35,995449,302,212,37,303,0.037800687285223365
36,995414,323,226,37,324,0.0695364238410596
37,995375,333,253,39,334,0.030959752321981424
38,995341,348,268,43,349,0.04504504504504504
39,995311,357,284,48,358,0.02586206896551724
40,995273,373,303,51,374,0.04481792717086835
41,995243,378,325,54,379,0.013404825737265416
42,995203,393,347,57,394,0.03968253968253968
43,995166,401,370,63,402,0.020356234096692113
44,995133,413,389,65,414,0.029925187032418952
45,995099,423,409,69,424,0.024213075060532687
46,995061,439,429,71,440,0.037825059101654845
47,995024,455,449,72,456,0.03644646924829157
48,994981,472,474,73,473,0.03736263736263736
49,994931,494,495,80,495,0.046610169491525424
50,994884,512,520,84,513,0.03643724696356275
51,994832,526,554,88,527,0.02734375
52,994785,537,583,95,538,0.02091254752851711
53,994742,535,620,103,538,-0.0037243947858473
54,994687,562,644,107,565,0.05046728971962617
55,994636,577,673,114,580,0.026690391459074734
56,994577,603,700,120,606,0.045060658578856154
57,994507,642,726,125,645,0.06467661691542288
58,994438,677,757,128,680,0.05451713395638629
59,994379,698,789,134,701,0.0310192023633678
60,994312,722,824,142,725,0.034383954154727794
61,994232,742,878,148,745,0.027700831024930747
62,994170,765,911,154,768,0.03099730458221024
63,994111,780,946,163,783,0.0196078431372549
64,994042,797,989,172,800,0.021794871794871794
65,993980,815,1025,180,818,0.02258469259723965
66,993915,834,1065,186,837,0.023312883435582823
67,993853,836,1112,199,839,0.002398081534772182
68,993792,845,1158,205,848,0.01076555023923445
69,993730,855,1201,214,858,0.011834319526627219
70,993670,865,1245,220,868,0.011695906432748537
71,993606,866,1293,235,869,0.0011560693641618498
72,993534,886,1340,241,889,0.023094688221709007
73,993466,904,1379,251,907,0.020316027088036117
74,993389,936,1421,254,939,0.035398230088495575
75,993305,964,1472,260,967,0.029914529914529916
76,993221,996,1519,264,999,0.03319502074688797
77,993144,1023,1564,269,1026,0.02710843373493976
78,993064,1036,1621,279,1039,0.01270772238514174
79,992977,1065,1669,289,1068,0.027992277992277992
80,992888,1083,1731,298,1086,0.016901408450704224
81,992808,1094,1789,309,1097,0.010156971375807941
82,992721,1117,1843,319,1120,0.02102376599634369
83,992624,1155,1893,328,1158,0.03401969561324977
84,992525,1173,1960,342,1176,0.015584415584415584
85,992424,1197,2029,352,1200,0.020460358056265986
86,992319,1206,2109,366,1209,0.007518796992481203
87,992213,1247,2163,377,1250,0.03399668325041459
88,992097,1295,2218,390,1298,0.038492381716118684
89,991993,1300,2296,411,1303,0.003861003861003861
90,991886,1341,2355,418,1344,0.031538461538461536
91,991791,1359,2423,427,1362,0.013422818791946308
92,991698,1366,2494,442,1369,0.0051508462104488595
93,991593,1399,2556,452,1402,0.024158125915080528
94,991488,1430,2614,468,1433,0.02215868477483917
95,991389,1436,2695,480,1439,0.004195804195804196
96,991271,1453,2775,501,1456,0.011838440111420613
97,991161,1484,2839,516,1487,0.021335168616655197
98,991048,1511,2919,522,1514,0.018194070080862535
99,990938,1526,3000,536,1529,0.009927200529450696
100,990816,1550,3082,552,1553,0.015727391874180863
101,990712,1547,3175,566,1553,-0.001935483870967742
102,990611,1552,3261,576,1558,0.003232062055591467
103,990507,1563,3342,588,1569,0.007087628865979381
104,990406,1559,3432,603,1569,-0.0025591810620601407
105,990300,1573,3507,620,1583,0.008980115458627326
106,990201,1577,3582,640,1587,0.0025429116338207248
107,990087,1603,3655,655,1613,0.016487000634115408
108,989970,1627,3732,671,1637,0.014971927635683094
109,989868,1623,3826,683,1637,-0.002458512599877074
110,989760,1647,3895,698,1661,0.014787430683918669
111,989656,1648,3983,713,1662,0.0006071645415907711
112,989527,1676,4071,726,1690,0.01699029126213592
113,989414,1699,4144,743,1713,0.013723150357995227
114,989285,1719,4232,764,1733,0.011771630370806356
115,989171,1727,4326,776,1741,0.004653868528214078
116,989049,1747,4408,796,1761,0.011580775911986103
117,988900,1781,4504,815,1795,0.019461934745277618
118,988763,1804,4596,837,1818,0.01291409320606401
119,988629,1800,4719,852,1818,-0.0022172949002217295
120,988497,1828,4806,869,1846,0.015555555555555555
121,988362,1849,4899,890,1867,0.011487964989059081
122,988230,1877,4983,910,1895,0.015143320713899405
123,988103,1896,5076,925,1914,0.010122535961640916
124,987972,1898,5187,943,1916,0.0010548523206751054
125,987837,1885,5317,961,1916,-0.00684931506849315
126,987700,1911,5412,977,1942,0.013793103448275862
127,987567,1927,5510,996,1958,0.00837257980115123
128,987412,1962,5606,1020,1993,0.01816294758692268
129,987274,1994,5691,1042,2025,0.0163098878695209
130,987155,1978,5806,1061,2025,-0.00802407221664995
131,987027,1982,5911,1080,2029,0.0020222446916076846
132,986894,1999,6012,1095,2046,0.008577194752774974
133,986762,2016,6109,1113,2063,0.008504252126063032
134,986607,2052,6209,1132,2099,0.017857142857142856
135,986469,2056,6327,1148,2103,0.001949317738791423
136,986330,2070,6433,1167,2117,0.006809338521400778
137,986192,2097,6530,1181,2144,0.013043478260869565
138,986038,2123,6641,1198,2170,0.01239866475917978
139,985883,2165,6742,1210,2212,0.019783325482807347
140,985713,2197,6856,1234,2244,0.014780600461893764
141,985553,2225,6966,1256,2272,0.012744651797906235
142,985414,2203,7110,1273,2272,-0.009887640449438202
143,985262,2236,7212,1290,2305,0.014979573309123922
144,985102,2237,7344,1317,2306,0.0004472271914132379
145,984937,2251,7461,1351,2320,0.006258381761287439
146,984774,2280,7574,1372,2349,0.01288316303864949
147,984599,2313,7693,1395,2382,0.014473684210526316
148,984454,2305,7820,1421,2382,-0.0034587116299178555
149,984280,2321,7949,1450,2398,0.006941431670281995
150,984113,2323,8089,1475,2400,0.0008616975441619991
151,983939,2366,8202,1493,2443,0.018510546706844596
152,983768,2419,8297,1516,2496,0.022400676246830092
153,983591,2447,8421,1541,2524,0.011575031004547334
154,983432,2456,8549,1563,2533,0.0036779730281977932
155,983267,2464,8683,1586,2541,0.003257328990228013
156,983102,2496,8801,1601,2573,0.012987012987012988
157,982930,2522,8925,1623,2599,0.010416666666666666
158,982758,2538,9054,1650,2615,0.006344171292624901
159,982585,2588,9163,1664,2665,0.019700551615445233
160,982411,2629,9269,1691,2706,0.015842349304482226
161,982255,2635,9394,1716,2712,0.002282236591860023
162,982091,2666,9506,1737,2743,0.011764705882352941
163,981932,2678,9633,1757,2755,0.00450112528132033
164,981752,2702,9766,1780,2779,0.008961911874533234
165,981568,2719,9917,1796,2796,0.006291635825314582
166,981390,2737,10053,1820,2814,0.0066200809121000365
167,981200,2741,10211,1848,2818,0.0014614541468761417
