Dia,Susceptibles,Infectados,Recuperados,Muertos,Infectados_Acumulados,R0
0,999999,1,0,0,1,0.0
1,999998,2,0,0,2,1.0
2,999997,3,0,0,3,0.5
3,999997,3,0,0,3,0.0
4,999995,4,1,0,4,0.3333333333333333
5,999995,4,1,0,4,0.0
6,999994,5,1,0,5,0.25
7,999993,6,1,0,6,0.2
8,999989,9,2,0,9,0.5
9,999984,12,2,2,12,0.3333333333333333
10,999982,14,2,2,14,0.16666666666666666
11,999977,15,6,2,15,0.07142857142857142
12,999973,18,6,3,18,0.2
13,999967,23,7,3,23,0.2777777777777778
14,999962,27,8,3,27,0.17391304347826086
15,999955,32,10,3,32,0.18518518518518517
16,999950,35,12,3,35,0.09375
17,999941,43,13,3,43,0.22857142857142856
18,999936,45,15,4,45,0.046511627906976744
19,999919,59,18,4,59,0.3111111111111111
20,999904,68,23,5,68,0.15254237288135594
21,999889,76,30,5,76,0.11764705882352941
22,999879,83,33,5,83,0.09210526315789473
23,999866,91,37,6,91,0.0963855421686747
24,999852,98,43,7,98,0.07692307692307693
25,999839,106,47,8,106,0.08163265306122448
26,999821,119,52,8,119,0.12264150943396226
27,999800,134,58,8,134,0.12605042016806722
28,999785,147,60,8,147,0.09701492537313433
29,999767,153,70,10,153,0.04081632653061224
30,999747,160,81,12,160,0.0457516339869281
31,999726,172,87,15,172,0.075
32,999702,193,90,15,193,0.12209302325581395
33,999679,203,101,17,203,0.05181347150259067
34,999660,211,109,20,211,0.03940886699507389
35,999634,227,119,20,227,0.07582938388625593
36,999612,237,128,23,237,0.04405286343612335
37,999584,251,140,25,251,0.05907172995780591
38,999563,256,152,29,256,0.0199203187250996
39,999538,270,161,31,270,0.0546875
40,999514,283,171,32,283,0.04814814814814815
41,999474,304,185,37,304,0.07420494699646643
42,999437,324,198,41,324,0.06578947368421052
43,999398,338,217,47,338,0.043209876543209874
44,999350,373,229,48,373,0.10355029585798817
45,999307,397,244,52,397,0.064343163538874
46,999257,434,254,55,434,0.09319899244332494
47,999228,437,275,60,437,0.0069124423963133645
48,999194,444,299,63,444,0.016018306636155607
49,999164,448,323,65,448,0.009009009009009009
50,999129,460,345,66,460,0.026785714285714284
51,999086,481,363,70,481,0.04565217391304348
52,999042,496,387,75,496,0.031185031185031187
53,998992,511,420,77,511,0.03024193548387097
54,998940,527,452,81,527,0.03131115459882583
55,998891,541,481,87,541,0.026565464895635674
56,998844,554,507,95,554,0.024029574861367836
